Concept2 Utility - Version 6.55


Log Data for:;Demo
;;;;;Total Workout Results;;;;Split or Work Interval Results;;;;Results Calculated by Formulas;;;Interval Rest Results
;Name;Date;Time of Day;Workout Name;Time;Meters;Avg SPM;Avg Heart Rate;Time;Meters;SPM;Heart Rate;/500m;Cal/hr;Watt;Time;Meters;Heart Rate

;Demo;01.07.14;13:08;0:10:27;10:27.1;2265;22;149;;;;;02:18.4;754;132
;Demo;01.07.14;13:08;0:10:27;;;;;05:00.0;1119;23;158;02:14.0;800;145
;Demo;01.07.14;13:08;0:10:27;;;;;10:00.0;1054;23;144;02:22.3;717;121
;Demo;01.07.14;13:08;0:10:27;;;;;10:27.1;93;18;145;02:25.6;689;113

;Demo;01.07.14;12:54;5000m;19:44.8;5000;21;166;;;;;01:58.4;1024;210
;Demo;01.07.14;12:54;5000m;;;;;04:00.7;1000;23;155;02:00.3;991;201
;Demo;01.07.14;12:54;5000m;;;;;03:55.7;2000;21;163;01:57.8;1035;214
;Demo;01.07.14;12:54;5000m;;;;;03:56.1;3000;22;169;01:58.0;1032;213
;Demo;01.07.14;12:54;5000m;;;;;03:57.2;4000;21;171;01:58.6;1022;210
;Demo;01.07.14;12:54;5000m;;;;;03:55.1;5000;21;176;01:57.5;1041;215

;Demo;29.06.14;18:52;4x500m/1:00r;07:52.8;2000;24;159;;;;;01:58.2;1029;212
;Demo;29.06.14;18:52;4x500m/1:00r;;;;;01:48.1;500;27;163;01:48.1;1253;277
;Demo;29.06.14;18:52;4x500m/1:00r;;;;;01:57.5;500;25;160;01:57.5;1042;216
;Demo;29.06.14;18:52;4x500m/1:00r;;;;;01:58.5;500;23;165;01:58.5;1023;210
;Demo;29.06.14;18:52;4x500m/1:00r;;;;;02:08.8;500;23;149;02:08.8;863;164
;Demo;29.06.14;18:52;4x500m/1:00r;;;;;;;;;;;;;72

;Demo;29.06.14;18:35;2000m;07:33.0;2000;24;161;;;;;01:53.2;1129;241
;Demo;29.06.14;18:35;2000m;;;;;01:54.1;500;25;154;01:54.1;1110;236
;Demo;29.06.14;18:35;2000m;;;;;01:53.2;1000;24;158;01:53.2;1130;241
;Demo;29.06.14;18:35;2000m;;;;;01:54.2;1500;25;165;01:54.2;1108;235
;Demo;29.06.14;18:35;2000m;;;;;01:51.5;2000;23;169;01:51.5;1168;252

;Demo;26.06.14;20:51;10000m;42:45.5;10000;21;152;;;;;02:08.2;870;166
;Demo;26.06.14;20:51;10000m;;;;;08:36.3;2000;22;144;02:09.0;860;163
;Demo;26.06.14;20:51;10000m;;;;;08:30.9;4000;22;150;02:07.7;878;168
;Demo;26.06.14;20:51;10000m;;;;;08:28.6;6000;21;157;02:07.1;885;170
;Demo;26.06.14;20:51;10000m;;;;;08:46.6;8000;21;151;02:11.6;827;153
;Demo;26.06.14;20:51;10000m;;;;;08:23.0;10000;22;160;02:05.7;905;176

;Demo;25.06.14;20:22;0:02:42;02:42.1;523;23;130;;;;;02:34.9;623;94
;Demo;25.06.14;20:22;0:02:42;;;;;02:42.1;523;23;130;02:34.9;623;94

;Demo;25.06.14;20:19;2000m;07:28.5;2000;24;164;;;;;01:52.1;1154;248
;Demo;25.06.14;20:19;2000m;;;;;01:48.6;500;24;159;01:48.6;1240;273
;Demo;25.06.14;20:19;2000m;;;;;01:50.0;1000;23;164;01:50.0;1205;263
;Demo;25.06.14;20:19;2000m;;;;;01:57.3;1500;25;165;01:57.3;1046;217
;Demo;25.06.14;20:19;2000m;;;;;01:52.6;2000;24;170;01:52.6;1143;245

;Demo;25.06.14;20:11;0:02:28;02:28.2;512;23;122;;;;;02:24.7;697;115
;Demo;25.06.14;20:11;0:02:28;;;;;02:28.2;512;23;122;02:24.7;697;115

;Demo;24.06.14;08:18;2000m;09:02.7;2000;22;125;;;;;02:15.6;782;140
;Demo;24.06.14;08:18;2000m;;;;;02:27.7;500;22;113;02:27.7;673;109
;Demo;24.06.14;08:18;2000m;;;;;02:16.2;1000;22;120;02:16.2;776;139
;Demo;24.06.14;08:18;2000m;;;;;02:07.8;1500;23;136;02:07.8;877;168
;Demo;24.06.14;08:18;2000m;;;;;02:11.0;2000;23;131;02:11.0;835;156

;Demo;23.06.14;16:27;2000m;09:08.4;2000;20;0;;;;;02:17.1;767;136
;Demo;23.06.14;16:27;2000m;;;;;02:35.1;500;21;0;02:35.1;622;94
;Demo;23.06.14;16:27;2000m;;;;;02:14.6;1000;20;0;02:14.6;793;144
;Demo;23.06.14;16:27;2000m;;;;;02:10.1;1500;20;0;02:10.1;847;159
;Demo;23.06.14;16:27;2000m;;;;;02:08.6;2000;21;0;02:08.6;866;165

;Demo;21.06.14;09:47;1:35:18;1:35:18.;21106;22;138;;;;;02:15.4;784;141
;Demo;21.06.14;09:47;1:35:18;;;;;20:00.0;4283;22;122;02:20.0;738;127
;Demo;21.06.14;09:47;1:35:18;;;;;40:00.0;4554;22;141;02:11.7;826;153
;Demo;21.06.14;09:47;1:35:18;;;;;1:00:00.;4346;22;138;02:18.0;757;133
;Demo;21.06.14;09:47;1:35:18;;;;;1:20:00.;4448;22;142;02:14.8;790;143
;Demo;21.06.14;09:47;1:35:18;;;;;1:35:18.;3475;21;148;02:12.1;822;152

;Demo;19.06.14;17:39;2000m;08:44.1;2000;21;134;;;;;02:11.0;835;156
;Demo;19.06.14;17:39;2000m;;;;;02:17.1;500;23;127;02:17.1;767;136
;Demo;19.06.14;17:39;2000m;;;;;02:09.6;1000;21;131;02:09.6;853;161
;Demo;19.06.14;17:39;2000m;;;;;02:06.0;1500;21;141;02:06.0;902;175
;Demo;19.06.14;17:39;2000m;;;;;02:11.3;2000;22;138;02:11.3;832;155

